name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage Unit,Mileage,Engine (CC)
5,2014,450000,145500,1,1,1,0,5,74.0,1,23.4,1248
3,2010,225000,127000,1,1,1,0,5,90.0,1,23.0,1396
3,2017,440000,45000,3,1,1,0,5,81.86,1,20.14,1197
8,2011,350000,90000,1,1,1,0,5,67.1,1,23.59,1364
1,2013,200000,169000,1,1,1,0,5,68.1,1,20.0,1399
3,2012,500000,53000,1,1,1,2,5,90.0,1,23.0,1396
5,2002,150000,80000,3,1,1,2,5,46.3,1,19.7,796
3,2016,680000,100000,1,1,1,0,5,88.73,1,22.54,1396
4,2011,174000,100000,1,1,1,2,5,64.1,1,21.0,1461
5,2012,600000,72000,1,1,1,0,5,88.8,1,21.5,1248
7,2018,500000,35000,3,1,1,0,5,83.81,1,20.3,1199
5,2016,575000,45000,3,1,1,0,5,83.1,1,21.4,1197
5,2018,850000,64000,3,0,1,0,5,103.25,1,20.65,1462
7,2011,265000,120000,1,1,1,0,5,88.8,1,21.12,1248
3,2011,190000,110000,3,1,1,4,5,78.9,1,20.36,1197
3,2013,425000,60000,1,1,1,0,5,88.76,1,21.27,1396
5,2019,650000,30000,3,1,1,0,5,83.1,1,21.4,1197
9,2016,540000,40000,1,1,1,0,5,108.495,1,22.0,1498
5,2018,448000,30000,3,1,0,0,5,67.0,1,20.51,998
9,2017,500000,80000,1,1,1,0,5,108.62,1,21.66,1498
3,2011,235000,60000,3,1,1,2,5,78.9,1,20.36,1197
5,2013,450000,120000,1,1,1,2,5,74.0,1,22.9,1248
9,2013,450000,170000,1,1,1,0,5,103.6,1,20.54,1598
1,2015,610000,90000,1,1,1,0,5,98.59,1,22.77,1498
5,2017,484999,10000,3,0,1,0,5,67.04,1,23.1,998
3,2012,290000,28000,3,0,1,0,5,68.05,1,19.81,1086
3,2015,351000,45000,3,0,1,2,5,68.05,1,19.81,1086
5,2008,120000,68000,3,0,1,4,5,46.3,1,19.7,796
3,2017,725000,110000,1,1,1,0,5,88.73,1,22.54,1396
5,2009,185000,77000,3,0,1,2,5,67.05,1,21.79,998
5,2019,615000,10000,3,1,1,0,5,81.8,1,21.21,1197
5,2018,610000,35000,3,1,1,0,5,83.1,1,21.4,1197
3,2013,522000,150000,1,1,1,2,5,126.32,1,22.32,1582
3,2013,451999,69000,1,1,1,0,5,88.76,1,21.9,1396
5,2020,475000,13000,3,1,1,0,5,67.04,1,21.63,998
5,2017,595000,40000,3,1,1,0,5,83.14,1,20.85,1197
5,2017,440000,35000,3,1,1,0,5,67.04,1,20.51,998
3,2016,1140000,50000,1,1,1,0,5,126.2,1,19.67,1582
1,2017,850000,76139,1,1,1,0,5,98.96,1,23.0,1498
6,2018,350000,25000,3,1,1,0,5,67.0,1,23.01,999
5,2015,360000,40000,3,1,1,2,5,67.04,1,23.1,998
5,2008,105000,65000,3,1,1,1,5,46.3,1,19.7,796
5,2013,625000,90000,1,1,1,2,7,88.76,1,20.77,1248
5,2015,700000,110000,1,1,1,2,7,88.76,1,20.77,1248
5,2012,340000,24300,3,0,1,0,5,81.8,1,21.21,1197
7,2018,1025000,8000,1,0,0,0,5,108.5,1,21.5,1497
9,2011,300000,100000,1,1,1,2,5,103.6,1,20.54,1598
1,2011,160000,120000,1,1,1,0,5,68.0,1,20.0,1399
5,2015,515000,36600,3,1,1,0,5,81.8,1,20.4,1197
5,2015,390000,50000,3,1,0,2,5,67.0,1,20.51,998
5,2010,220000,120000,1,1,1,0,5,73.9,1,21.1,1248
8,2010,300000,60000,1,1,1,0,5,87.2,1,21.43,1364
7,2017,490000,90000,1,1,1,0,5,74.0,1,22.95,1248
5,2016,459999,60000,3,1,1,2,5,83.14,1,20.85,1197
7,2019,520000,14000,3,1,1,0,5,84.0,1,20.3,1199
5,2015,580000,70000,1,1,1,0,7,88.76,1,20.77,1248
5,2017,550000,50000,3,1,1,0,5,83.14,1,20.85,1197
5,2018,420000,35000,3,1,0,0,5,67.0,1,20.51,998
5,2017,550000,20000,3,1,1,0,5,81.8,1,21.21,1197
5,2018,700000,7800,3,1,0,0,5,81.8,1,22.0,1197
5,2017,500000,20000,3,1,1,0,5,81.8,1,20.4,1197
5,2015,290000,60000,3,1,1,0,5,67.04,1,20.51,998
5,2018,830000,5000,3,1,0,0,5,83.1,1,21.4,1197
5,2011,160000,25000,3,1,1,2,5,46.3,1,19.7,796
3,2020,524000,32000,3,1,1,0,5,81.86,1,20.14,1197
5,2015,245000,40000,3,1,1,0,5,47.3,1,22.74,796
5,2016,350000,140000,3,1,1,0,5,67.04,1,20.51,998
5,2010,250000,110000,1,1,1,2,5,73.9,1,21.1,1248
3,2017,1100000,37000,1,1,1,0,5,126.2,1,19.67,1582
5,2015,640000,80000,1,1,1,0,7,88.76,1,20.77,1248
5,2013,550000,70000,1,1,1,0,5,74.0,1,23.4,1248
3,2009,200000,53000,3,1,1,2,5,78.9,1,20.36,1197
5,2014,500000,120000,1,1,1,2,5,74.0,1,23.4,1248
5,2015,350000,100000,3,1,1,0,5,83.11,1,20.4,1197
3,2017,800000,39000,1,1,1,0,5,88.73,1,22.54,1396
3,2013,530000,92500,1,1,1,0,5,126.3,1,22.32,1582
5,2012,360000,158000,1,1,1,0,5,74.0,1,23.4,1248
5,2015,525000,20000,3,1,1,0,5,83.14,1,20.85,1197
5,2014,375000,80000,3,1,1,0,5,81.8,1,20.4,1197
3,2015,500000,70000,1,1,1,1,5,88.73,1,22.54,1396
7,2012,290000,60000,1,1,1,0,5,88.76,1,21.02,1248
5,2005,110000,45000,3,1,1,2,5,46.3,1,19.7,796
5,2016,520000,20000,3,1,1,0,5,81.8,1,20.4,1197
5,2019,675000,16500,3,1,1,0,5,81.8,1,21.01,1197
